[00]#七绝一#4#0 32 0 31 31 32 32|0 31 0 32 32 31 33|0 31 0 32 31 31 32|0 32 31 31 32 32 33
[01]#七绝二#4#0 31 0 32 32 31 33|0 32 31 31 32 32 33|0 32 0 31 31 32 32|0 31 0 32 32 31 33
[02]#七绝三#4#0 32 31 31 32 32 33|0 31 0 32 32 31 33|0 31 0 32 31 31 32|0 32 31 31 32 32 33
[03]#七绝四#4#0 31 0 32 31 31 32|0 32 31 31 32 32 33|0 32 0 31 31 32 32|0 31 0 32 32 31 33
[04]#五绝一#4#0 31 31 32 32|0 32 32 31 33|0 32 31 31 32|31 31 32 32 33
[05]#五绝二#4#0 32 32 31 33|31 31 32 32 33|0 31 31 32 32|0 32 32 31 33
[06]#五绝三#4#31 31 32 32 33|0 32 32 31 33|0 32 0 31 32|31 31 32 32 33
[07]#五绝四#4#0 32 31 31 32|31 31 32 32 33|0 31 31 32 32|0 32 32 31 33
